fecha;hora;incidente;medio;vehiculo;patente;heridos;fallecidos;direccion;sector;lugar;posicion;imagen;descripcion;web
21/3/2022;08:00;choque;automovil;Fiat Siena;PEW429;0;0;Colon e Italia;Zona Norte. Punta Alta.;esquina;-38.859527, -62.089466;20220321_Siena.jpg;Choque entre vehiculo y moto.;https://elrosalenio.com.ar/noticias/21/03/2022/10035521/ocupantes-de-una-moto-fueron-derivados-al-h.n.p.b-tras-siniestro-vial
21/3/2022;08:00;choque;motocicleta;Corven;A028NMB;2;0;Colon e Italia;Zona Norte. Punta Alta.;esquina;-38.859557, -62.089496;20220321_corven.jpg;Choque entre vehiculo y moto.;https://elrosalenio.com.ar/noticias/21/03/2022/10035521/ocupantes-de-una-moto-fueron-derivados-al-h.n.p.b-tras-siniestro-vial
27/3/2022;12:00;choque;automovil;Chevrolet Cruze;AC405ZK;1;0;Ruta Nacional 249, km 667;RN 249.;ruta;-38.879039, -62.020786;20220327_basural.jpg;Choque en cadena.;https://elrosalenio.com.ar/noticias/27/03/2022/10035584/siniestro-vial-entre-dos-vehiculos-dejo-varios-ocupantes-con-politraumatismos
27/3/2022;12:00;choque;automovil;Fiat Strada;KCB130;1;0;Ruta Nacional 249, km 667;RN 249.;ruta;-38.879009, -62.020756;20220327_basural.jpg;Choque en cadena.;https://elrosalenio.com.ar/noticias/27/03/2022/10035584/siniestro-vial-entre-dos-vehiculos-dejo-varios-ocupantes-con-politraumatismos
27/3/2022;09:00;choque;automovil;Ford Ranger;AB958FQ;0;0;Bernardo de Irigoyen y Espora;Centro. Punta Alta.;esquina;-38.880753, -62.072596;20220327_ranger.jpg;Choque entre autos.;https://elrosalenio.com.ar/noticias/27/03/2022/10035583/chocaron-en-una-esquina-con-semaforos
27/3/2022;09:00;choque;automovil;Volkswagen Gol;HDW734;0;0;Bernardo de Irigoyen y Espora;Centro. Punta Alta.;esquina;-38.880723, -62.072566;20220327_volks.jpg;Choque entre autos.;https://elrosalenio.com.ar/noticias/27/03/2022/10035583/chocaron-en-una-esquina-con-semaforos
1/11/2022;14:15;choque;bicicleta;Bicicleta;null;1;0;Brown y Urquiza;Centro. Punta Alta.;esquina;-38.882635, -62.075200;20221101_ciclista.jpg;Choque contra ciclista.;https://elrosalenio.com.ar/noticias/01/11/2022/10038002/ciclista-protagoniza-accidente-vial-en-el-centro-de-punta-alta
4/4/2022;10:00;choque;automovil;Peugeot Partner;AA158YD;0;0;Alvear y Dorrego;Ciudad Atlantida. Punta Alta.;esquina;-38.886046, -62.068753;20220404_partner.jpg;Choque entre autos.;https://elrosalenio.com.ar/noticias/04/04/2022/10035674/otro-siniestro-vial-entre-vehiculos-en-una-esquina-semaforizada
4/4/2022;10:00;choque;automovil;Toyota Corolla;AC192ZD;0;0;Alvear y Dorrego;Ciudad Atlantida. Punta Alta.;esquina;-38.886076, -62.068783;20220404_corolla.jpg;Choque entre autos.;https://elrosalenio.com.ar/noticias/04/04/2022/10035674/otro-siniestro-vial-entre-vehiculos-en-una-esquina-semaforizada
10/11/2022;17:00;choque;bicicleta;Bicicleta;null;1;0;Quintana y 25 de Mayo;Centro. Punta Alta.;esquina;-38.869855, -62.082431;20221110_ciclista.jpg;Choque contra ciclista.;https://elrosalenio.com.ar/noticias/10/11/2022/10038135/menor-de-edad-protagoniza-accidente-vial
13/4/2022;19:30;choque;camion;Volkswagen;TNJ306;0;0;Rivadavia 1050;Centro. Punta Alta.;calle;-38.878653, -62.068043;20220413.jpg;Choque contra ciclista. Un fallecido.;https://elrosalenio.com.ar/noticias/13/04/2022/10035772/una-ciclista-fallecio-tras-siniestro-vial-con-un-camion-en-calle-rivadavia
1/12/2022;15:00;choque;bicicleta;Bicicleta;null;1;0;Bernardo de Irigoyen y Avellaneda;Centro. Punta Alta.;esquina;-38.880233, -62.069737;20221201_bicicleta.jpg;Choque contra ciclista.;https://elrosalenio.com.ar/noticias/01/12/2022/10038407/menor-de-edad-fue-trasladada-al-hnpb-por-politraumatismos
29/12/2022;12:00;choque;motocicleta;Mondial 110cc;null;2;0;Quintana y 25 de Mayo;Centro. Punta Alta.;esquina;-38.869625, -62.082401;20221229_moto.jpg;Choque entre vehiculo y moto.;https://elrosalenio.com.ar/noticias/29/12/2022/10038691/siniestro-vial-involucro-a-un-automovil-y-un-ciclomotor
18/4/2022;17:30;choque;automovil;Chevrolet Spin;OHK699;0;0;Rosales y Brown;Centro. Punta Alta.;esquina;-38.883841, -62.074884;20220418imagen.jpg;Choque entre vehiculo y moto.;https://elrosalenio.com.ar/noticias/18/04/2022/10035805/otro-choque-entre-auto-y-moto
18/4/2022;17:30;choque;motocicleta;Gilera Smash;807HRN;1;0;Rosales y Brown;Centro. Punta Alta.;esquina;-38.883811, -62.074854;20220418imagen.jpg;Choque entre vehiculo y moto.;https://elrosalenio.com.ar/noticias/18/04/2022/10035805/otro-choque-entre-auto-y-moto
25/4/2022;20:00;detencion;automovil;Renault 18;TRZ447;0;0;Juncal y Espora;Pehuenco.;esquina;-38.994168, -61.553689;20220425_peh.jpg;Detenido. Automovil con prohibicion de circulacion y patente falsa. Pehuenco;https://elrosalenio.com.ar/noticias/25/04/2022/10035894/pehuen-co:-detenido-por-manejar-un-vehiculo-con-prohibicion-de-circulacion
29/4/2022;13:00;choque;automovil;Fiat Siena;PQD707;0;0;Mitre y Espora;Centro. Punta Alta.;esquina;-38.878345, -62.073332;20220429_moto.jpg;Choque entre vehiculo y moto. Remis. Reparto.;https://elrosalenio.com.ar/noticias/29/04/2022/10035952/siniestro-vial-entre-una-moto-y-un-remis
29/4/2022;13:00;choque;motocicleta;Zanella 110CC;575DVM;1;0;Mitre y Espora;Centro. Punta Alta.;esquina;-38.878215, -62.073202;20220429_remis.jpg;Choque entre vehiculo y moto. Remis. Reparto.;https://elrosalenio.com.ar/noticias/29/04/2022/10035952/siniestro-vial-entre-una-moto-y-un-remis
2/5/2022;13:00;choque;automovil;Ford KA;AA933QZ;0;0;Gonzalez Fernandez y 12 de Octubre;Ciudad Atlantida. Punta Alta.;esquina;-38.891903, -62.065372;20220502_fordka.jpg;Choque entre vehiculo y moto.;https://elrosalenio.com.ar/noticias/02/05/2022/10035978/accidente-de-transito-entre-moto-y-auto
2/5/2022;13:00;choque;motocicleta;Yamaha;A145NBM;1;0;Gonzalez Fernandez y 12 de Octubre;Ciudad Atlantida. Punta Alta.;esquina;-38.891933, -62.065399;20220502_yamaha.jpg;Choque entre vehiculo y moto.;https://elrosalenio.com.ar/noticias/02/05/2022/10035978/accidente-de-transito-entre-moto-y-auto
11/1/2023;11:00;choque;bicicleta;Bicicleta;null;1;0;Mitre y Paso;Centro. Punta Alta.;esquina;-38.879062, -62.078108;20230111_bicicleta.jpg;Choque contra ciclista.;https://elrosalenio.com.ar/noticias/11/01/2023/10038803/colision-entre-automovil-y-bicicleta-en-zona-centro
2/5/2022;12:30;choque;automovil;Toyota Corolla;AD080SL;1;0;9 de Julio y Brown;Centro. Punta Alta.;esquina;-38.873665, -62.077680;20220502_corolla.jpg;Choque entre autos.;https://elrosalenio.com.ar/noticias/02/05/2022/10035977/fuerte-siniestro-vial-entre-vehiculos-en-brown-y-9-de-julio
7/2/2023;02:00;detencion;motocicleta;Zanella 250cc;null;0;0;Roca y Rio Bermejo;Zona Norte. Punta Alta.;esquina;-38.851623, -62.088743;20230207_detenido.jpg;Detenido. Moto robada. Robo.;https://elrosalenio.com.ar/noticias/08/02/2023/10039072/secuestraron-una-moto-que-habia-sido-robada-horas-antes
4/5/2022;21:00;choque;motocicleta;Honda;A152YN;1;0;Humberto Primo y Urquiza;Centro. Punta Alta.;esquina;-38.883685, -62.081318;20220504_esquinamoto.jpg;Choque entre omnibus y moto.;https://elrosalenio.com.ar/noticias/04/05/2022/10036008/siniestro-vial-entre-un-colectivo-de-la-linea-504-y-una-moto
12/2/2023;21:45;choque;bicicleta;Bicicleta;null;1;0;Colon y Rio Bermejo;Zona Norte. Punta Alta.;esquina;-38.851627, -62.091275;20230213_bici.jpg;Choque contra ciclista. ;https://elrosalenio.com.ar/noticias/13/02/2023/10039116/por-siniestro-vial-debieron-hospitalizar-a-un-ciclista
4/5/2022;22:00;detencion;motocicleta;Keller;A094DBQ;0;0;Paso 1600;Zona Norte. Punta Alta.;calle;-38.867523, -62.081211;20220504_detenido.jpg;Detenido. Moto robada. Robo.;https://elrosalenio.com.ar/noticias/04/05/2022/10036001/la-policia-detuvo-a-un-joven-tras-robar-una-moto
5/5/2022;01:00;detencion;motocicleta;Gilera Smash;497IPS;0;0;12 de Octubre 1300.;Ciudad Atlantida. Punta Alta.;calle;-38.887476, -62.060014;20220505_robo.jpg;Detenido. Moto robada. Robo.;https://elrosalenio.com.ar/noticias/05/05/2022/10036012/robo-dos-motos-y-fue-detenido
17/5/2022;02:15;incendio;motocicleta;Keller 110cc;975JQM;0;0;Mitre y Colon;Centro. Punta Alta.;esquina;-38.879971, -62.083954;20220517_incendio.jpg;Incendio. Moto. Robo.;https://elrosalenio.com.ar/noticias/17/05/2022/10036138/incendiaron-una-moto-luego-de-robarla
24/5/2022;23:30;incendio;automovil;Volkswagen Gol;BIA503;0;0;Alem 2600;Villa Mora - Villa Laura. Punta Alta.;calle;-38.871309, -62.052861;20220524_incendio.jpg;Incendio. Estacionado. En Taller.;https://elrosalenio.com.ar/noticias/24/05/2022/10036215/llamas-destruyeron-un-auto
3/6/2022;23:00;detencion;motocicleta;Motomel B 110cc;523GXU;0;0;Ciudad Atlantida;Ciudad Atlantida. Punta Alta.;calle;-38.881362, -62.064037;20220603_robo.jpg;Detenido. Moto robada. Robo.;https://elrosalenio.com.ar/noticias/06/06/2022/10036367/detenido-por-circular-a-bordo-de-una-moto-robada
5/6/2022;08:00;choque;automovil;Fiat 147;TZN691;1;0;Murature 980;Centro. Punta Alta.;calle;-38.873652, -62.076077;20220605_contenedor.jpg;Choque contra obstaculo. Contenedor en calle.;https://elrosalenio.com.ar/noticias/05/06/2022/10036353/video:-un-auto-impacto-contra-un-contenedor
6/6/2022;23:00;detencion;motocicleta;Gilera Smash;905JGG;0;0;Santa Cruz 98;Nueva Bahia Blanca. Punta Alta.;calle;-38.871381, -62.056214;20220606_robo.jpg;Detenido. Moto robada. Robo.;https://elrosalenio.com.ar/noticias/07/06/2022/10036374/dos-menores-detenidos-tras-circular-en-una-moto-robada
10/6/2022;00:15;choque;automovil;Fiat Palio;MRZ643;1;0;Puerto Madryn y Murature;Zona Norte. Punta Alta.;esquina;-38.859645, -62.079858;20220610_murature.jpg;Choque y vuelco.;https://elrosalenio.com.ar/noticias/10/06/2022/10036406/video:-perdio-el-control-despues-de-haber-impactado-un-auto-estacionado
23/6/2022;15:45;choque;automovil;Hyundai;JEU264;0;0;Pellegrini y Paso;Centro. Punta Alta.;esquina;-38.876657, -62.078761;20220623_hyu.jpg;Choque. Impacta vivienda, auto estacionado y contenedor.;https://elrosalenio.com.ar/noticias/23/06/2022/10036530/video:-choque-entre-camion-y-auto-provoco-danos-en-via-publica-y-una-vivienda
23/6/2022;15:45;choque;automovil;Renault 19;RPM628;2;0;Pellegrini y Paso;Centro. Punta Alta.;esquina;-38.876715, -62.078820;20220623_renault.jpg;Choque. Impacta vivienda, auto estacionado y contenedor.;https://elrosalenio.com.ar/noticias/23/06/2022/10036530/video:-choque-entre-camion-y-auto-provoco-danos-en-via-publica-y-una-vivienda
23/6/2022;15:45;choque;camion;Volkswagen 1318;OBR407;0;0;Pellegrini y Paso;Centro. Punta Alta.;esquina;-38.876687, -62.078791;20220623_camion.jpg;Choque. Impacta vivienda, auto estacionado y contenedor.;https://elrosalenio.com.ar/noticias/23/06/2022/10036530/video:-choque-entre-camion-y-auto-provoco-danos-en-via-publica-y-una-vivienda
23/2/2023;08:00;secuestro;motocicleta;Corven Energy 110cc;null;0;0;9 de Julio 980;Centro. Punta Alta.;calle;-38.872495, -62.070664;20230223_robada.jpg;Secuestro de moto. Abandonada.;https://elrosalenio.com.ar/noticias/23/02/2023/10039224/otra-moto-robada-en-bahia-blanca-fue-recuperada-en-nuestra-ciudad
27/6/2022;07:10;choque;automovil;Chevrolet;AC333PL;0;0;Colon y Pellegrini;Centro. Punta Alta.;esquina;-38.877644, -62.084628;20220627.jpg;Choque contra ciclista. ;https://elrosalenio.com.ar/noticias/27/06/2022/10036562/siniestro-vial-entre-un-auto-y-una-bicicleta
29/6/2022;10:00;choque;automovil;Peugeot 504;AKT850;1;0;Bernardo de Irigoyen y Pueyrredon;Centro. Punta Alta.;esquina;-38.879942, -62.068388;20220629.jpg;Choque entre autos.;https://elrosalenio.com.ar/noticias/29/06/2022/10036581/dos-conductores-con-heridas--tras-siniestro-vial
29/6/2022;10:00;choque;automovil;Volkswagen Suran;KLD284;1;0;Bernardo de Irigoyen y Pueyrredon;Centro. Punta Alta.;esquina;-38.879992, -62.068338;20220629.jpg;Choque entre autos.;https://elrosalenio.com.ar/noticias/29/06/2022/10036581/dos-conductores-con-heridas--tras-siniestro-vial
29/6/2022;10:00;choque;automovil;Chevrolet;RXL010;0;0;Bernardo de Irigoyen y Colon;Centro. Punta Alta.;esquina;-38.882412, -62.083305;20220629_pto1cam.jpg;Choque entre autos. Camioneta sin frenos y serios problemas previos.;https://elrosalenio.com.ar/noticias/29/06/2022/10036588/siniestro-vial-y-mucha-tension-en-el-centro-puntaltense
